sample_ID,treatment,replicate,plate,well,nFeature_RNA,nCount_RNA
CCL25_group1_plate1_H02,CCL25,group1,plate1,H02,11804,757260
IL2_group1_plate1_B01,IL2,group1,plate1,B01,11733,861408
TGFB3_group1_plate1_A09,TGFB3,group1,plate1,A09,11764,771507
BMP7_group1_plate1_C02,BMP7,group1,plate1,C02,11870,828105
MIF_group1_plate1_C08,MIF,group1,plate1,C08,11168,621820
CCL3_group1_plate1_A03,CCL3,group1,plate1,A03,12012,831283
IL1F9_group1_plate1_F10,IL1F9,group1,plate1,F10,11591,717447
IL11_group1_plate1_G05,IL11,group1,plate1,G05,11675,732451
IFNB1_group1_plate1_C05,IFNB1,group1,plate1,C05,11121,690982
LEP_group1_plate1_G10,LEP,group1,plate1,G10,11497,628285
CCL27_group1_plate1_A12,CCL27,group1,plate1,A12,13632,1698492
BMP4_group1_plate1_B02,BMP4,group1,plate1,B02,10894,480300
IL18_group1_plate1_G06,IL18,group1,plate1,G06,11104,537205
IL17F_group1_plate1_F06,IL17F,group1,plate1,F06,10738,458908
IL13_group1_plate1_H05,IL13,group1,plate1,H05,12180,909365
TNFSF15_group1_plate1_C09,TNFSF15,group1,plate1,C09,11245,617632
IL17A_group1_plate1_C06,IL17A,group1,plate1,C06,11331,652462
CCL8_group1_plate1_E03,CCL8,group1,plate1,E03,11334,646333
IL6_group1_plate1_D01,IL6,group1,plate1,D01,12262,1035940
CCL4_group1_plate1_B03,CCL4,group1,plate1,B03,11877,804248
IL9_group1_plate1_G07,IL9,group1,plate1,G07,11033,530909
IL27_group1_plate1_C07,IL27,group1,plate1,C07,11366,689192
WNT5A_group1_plate1_G09,WNT5A,group1,plate1,G09,11104,541152
IL1A_group1_plate1_H06,IL1A,group1,plate1,H06,11640,727536
IL4_group1_plate1_C01,IL4,group1,plate1,C01,12969,1416318
CX3CL1_group1_plate1_C12,CX3CL1,group1,plate1,C12,12165,910194
CTF1_group1_plate1_F03,CTF1,group1,plate1,F03,11269,600958
GDF7_group1_plate1_A05,GDF7,group1,plate1,A05,11841,782254
IL1F8_group1_plate1_E10,IL1F8,group1,plate1,E10,11585,720759
MSTN_group1_plate1_D08,MSTN,group1,plate1,D08,11254,598229
IL1F6_group1_plate1_D10,IL1F6,group1,plate1,D10,11152,587881
PF4_group1_plate1_F08,PF4,group1,plate1,F08,11280,631528
TNFSF8_group1_plate1_F12,TNFSF8,group1,plate1,F12,12147,905153
WNT1_group1_plate1_E09,WNT1,group1,plate1,E09,11299,627323
TNF_group1_plate1_B09,TNF,group1,plate1,B09,11615,687924
linker_group1_plate1_H10,linker,group1,plate1,H10,12011,792377
CXCL16_group1_plate1_C04,CXCL16,group1,plate1,C04,11302,717452
IL1F5_group1_plate1_C10,IL1F5,group1,plate1,C10,11018,503911
TNFSF10_group1_plate1_H12,TNFSF10,group1,plate1,H12,12790,1188831
IL16_group1_plate1_B06,IL16,group1,plate1,B06,11438,672680
IFNK_group1_plate1_E05,IFNK,group1,plate1,E05,10968,623250
CCL9_group1_plate1_E11,CCL9,group1,plate1,E11,11651,734446
IL1F10_group1_plate1_B10,IL1F10,group1,plate1,B10,11710,761694
TGFB1_group1_plate1_H01,TGFB1,group1,plate1,H01,11990,796881
LIF_group1_plate1_B08,LIF,group1,plate1,B08,11945,870240
TGFB2_group1_plate1_H08,TGFB2,group1,plate1,H08,11600,679883
CCL21A_group1_plate1_G02,CCL21A,group1,plate1,G02,11850,758802
GDF11_group1_plate1_F04,GDF11,group1,plate1,F04,11532,684009
CXCL9_group1_plate1_D04,CXCL9,group1,plate1,D04,10702,487593
CCL12_group1_plate1_D02,CCL12,group1,plate1,D02,11259,602497
CXCL12_group1_plate1_A04,CXCL12,group1,plate1,A04,12751,1157052
CCL24_group1_plate1_B11,CCL24,group1,plate1,B11,12198,901872
IL21_group1_plate1_A07,IL21,group1,plate1,A07,12109,940139
CCL28_group1_plate1_B12,CCL28,group1,plate1,B12,12850,1235490
IL33_group1_plate1_D07,IL33,group1,plate1,D07,11103,606410
